sample	slide_name	replicate_nr	region	class	segment	area	replicate_id
DSP_1005580000422_D_A02.dcc	DSP_1005580000422_D_A02.dcc	CTRL 1	1	SN	CTRL	ChATpos	15528.99	CTRL_SN_ChaTpos
DSP_1005580000422_D_A03.dcc	DSP_1005580000422_D_A03.dcc	CTRL 1	1	SN	CTRL	ChATneg	49290.10	CTRL_SN_ChaTneg
DSP_1005580000422_D_A08.dcc	DSP_1005580000422_D_A08.dcc	FUS 1	1	SN	FUS	ChATpos	18099.29	FUS_SN_ChaTpos
DSP_1005580000422_D_A09.dcc	DSP_1005580000422_D_A09.dcc	FUS 1	1	SN	FUS	ChATneg	46079.39	FUS_SN_ChaTneg
DSP_1005580000422_D_A10.dcc	DSP_1005580000422_D_A10.dcc	CTRL 2	2	SN	CTRL	ChATpos	13538.43	CTRL_SN_ChaTpos
DSP_1005580000422_D_A11.dcc	DSP_1005580000422_D_A11.dcc	CTRL 2	2	SN	CTRL	ChATneg	33673.71	CTRL_SN_ChaTneg
DSP_1005580000422_D_A12.dcc	DSP_1005580000422_D_A12.dcc	FUS 2	2	SN	FUS	ChATpos	15890.23	FUS_SN_ChaTpos
DSP_1005580000422_D_B01.dcc	DSP_1005580000422_D_B01.dcc	FUS 2	2	SN	FUS	ChATneg	37237.17	FUS_SN_ChaTneg
DSP_1005580000422_D_B06.dcc	DSP_1005580000422_D_B06.dcc	FUS 3	3	SN	FUS	ChATpos	15605.39	FUS_SN_ChaTpos
DSP_1005580000422_D_B07.dcc	DSP_1005580000422_D_B07.dcc	FUS 3	3	SN	FUS	ChATneg	42670.93	FUS_SN_ChaTneg
DSP_1005580000422_D_B08.dcc	DSP_1005580000422_D_B08.dcc	FUS 4	4	SN	FUS	ChATpos	14165.17	FUS_SN_ChaTpos
DSP_1005580000422_D_B09.dcc	DSP_1005580000422_D_B09.dcc	FUS 4	4	SN	FUS	ChATneg	46752.19	FUS_SN_ChaTneg
DSP_1005580000422_D_B10.dcc	DSP_1005580000422_D_B10.dcc	CTRL 4	4	SN	CTRL	ChATpos	12282.91	CTRL_SN_ChaTpos
DSP_1005580000422_D_B11.dcc	DSP_1005580000422_D_B11.dcc	CTRL 4	4	SN	CTRL	ChATneg	40988.94	CTRL_SN_ChaTneg
DSP_1005580000422_D_B12.dcc	DSP_1005580000422_D_B12.dcc	CTRL 3	3	SN	CTRL	ChATpos	11962.55	CTRL_SN_ChaTpos
DSP_1005580000422_D_C01.dcc	DSP_1005580000422_D_C01.dcc	CTRL 3	3	SN	CTRL	ChATneg	33738.95	CTRL_SN_ChaTneg
DSP_1005580000422_D_C04.dcc	DSP_1005580000422_D_C04.dcc	CTRL 2	2	SC	CTRL	ChATpos	10110.95	CTRL_SC_Chatpos
DSP_1005580000422_D_C05.dcc	DSP_1005580000422_D_C05.dcc	CTRL 2	2	SC	CTRL	ChATneg	6402.24	CTRL_SC_Chatneg
DSP_1005580000422_D_C06.dcc	DSP_1005580000422_D_C06.dcc	FUS 1	1	SC	FUS	ChATpos	8229.64	FUS_SC_ChaTpos
DSP_1005580000422_D_C07.dcc	DSP_1005580000422_D_C07.dcc	FUS 1	1	SC	FUS	ChATneg	5221.39	FUS_SC_ChaTneg
DSP_1005580000422_D_C10.dcc	DSP_1005580000422_D_C10.dcc	CTRL 3	3	SC	CTRL	ChATpos	9091.22	CTRL_SC_Chatpos
DSP_1005580000422_D_C11.dcc	DSP_1005580000422_D_C11.dcc	CTRL 3	3	SC	CTRL	ChATneg	6872.26	CTRL_SC_Chatneg
DSP_1005580000422_D_C12.dcc	DSP_1005580000422_D_C12.dcc	FUS 3	3	SC	FUS	ChATpos	4436.20	FUS_SC_ChaTpos
DSP_1005580000422_D_D01.dcc	DSP_1005580000422_D_D01.dcc	FUS 3	3	SC	FUS	ChATneg	3577.60	FUS_SC_ChaTneg
DSP_1005580000422_D_D04.dcc	DSP_1005580000422_D_D04.dcc	FUS 2	2	SC	FUS	ChATpos	6948.97	FUS_SC_ChaTpos
DSP_1005580000422_D_D05.dcc	DSP_1005580000422_D_D05.dcc	FUS 2	2	SC	FUS	ChATneg	5232.55	FUS_SC_ChaTneg
DSP_1005580000422_D_D08.dcc	DSP_1005580000422_D_D08.dcc	FUS 4	4	SC	FUS	ChATpos	5972.94	FUS_SC_ChaTpos
DSP_1005580000422_D_D09.dcc	DSP_1005580000422_D_D09.dcc	FUS 4	4	SC	FUS	ChATneg	8692.73	FUS_SC_ChaTneg
DSP_1005580000422_D_D10.dcc	DSP_1005580000422_D_D10.dcc	CTRL 1	1	SC	CTRL	ChATpos	11777.37	CTRL_SC_Chatpos
DSP_1005580000422_D_D11.dcc	DSP_1005580000422_D_D11.dcc	CTRL 1	1	SC	CTRL	ChATneg	5728.82	CTRL_SC_Chatneg
DSP_1005580000422_D_D12.dcc	DSP_1005580000422_D_D12.dcc	CTRL 4	4	SC	CTRL	ChATpos	9234.90	CTRL_SC_Chatpos
DSP_1005580000422_D_E01.dcc	DSP_1005580000422_D_E01.dcc	CTRL 4	4	SC	CTRL	ChATneg	9439.57	CTRL_SC_Chatneg
